pID,pname,alcdegree,volume,ingredient,pcompany,pprice,pperson,pcategory,pdesc,pstock,imgpath
26,청명주,17,375ml,국내산 쌀,중원당,17000,혼자,약주,맑은 하늘에 청명주 한 잔 곁들이기 좋잖아요,5,./pimg/26
27,치키피치,4.5,330ml,국내산 복숭아,댄싱사이더 컴퍼니,4500,혼자,과실주,복숭아와 사과의 달콤한 변신!,5,./pimg/27
28,댄싱파파,7,330ml,국내산 사과즙,댄싱사이더 컴퍼니,7000,혼자,과실주,과일로 만든 술도 이젠 달지 않고 깔끔하게 즐겨보세요,5,./pimg/28
29,7004S 키위와인,8,750ml,"키위열매(참다래,국내산),정제수",오름주가,8000,연인,과실주,우리나라 키위라고 불리는 참다래로 만든 키위와인,5,./pimg/29
30,시나브로 캠벨 스위트,12,750ml,"포도(국내산),백설탕,효모",시나브로 와이너리,12000,연인,과실주,달콤한 첫맛에 반전매력이 돋보이는 씁쓸한 끝맛,5,./pimg/30
31,매화깊은밤,8,375ml,"쌀(국산),매실(국산),누룩(국산)",백제명가주조,8000,연인,약주,매실의 달콤함에 빠져버린 아름다운 밤이에요,5,./pimg/31
32,능이주,13,375ml,"국내산 쌀, 능이농축액, 누룩, 정제수",내국양조,13000,친구,약주,눈 감고 마시면 화이트 와인으로 알아유,5,./pimg/32
33,제주 몬순 커피주,11,375ml,"정제수,설탕,커피생두(국내산),효모",제주커피수목원,11000,혼자,기타주류,세계 최초로 그린빈을 발효하여 만든 달콤한 커피와인,5,./pimg/33
34,감사,14,375ml,"쌀(국내산 경기미 100%), 누룩, 정제수",술샘,14000,친구,약주,소중한 분들게 감사한 마음을 담아,5,./pimg/34
35,김포특주,15,375ml,"국내산 쌀, 효모, 정제효소,정제수, 프락토올리고당",김포금쌀탁주영농조합법인,15000,친구,약주,통진미로 빚은 김포의 특별한 술,5,./pimg/35
36,고흥 유자주,8,500ml,"쌀(국내산),쌀입국(국내산),누룩(밀함유),유자",어떤하루,8000,연인,약주,달달한 유자향 한 가득,5,./pimg/36
37,붉은 원숭이,10.8,375ml,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",술샘,10800,친구,탁주,빨간맛 궁금해 Monkey,5,./pimg/37
38,나루 생 막걸리 11.5도,11.5,500ml,"정제수, 쌀(국내산), 국, 효모(밀함유)",한강주조,11500,친구,탁주,깊고 묵직한 단맛의 막걸리,5,./pimg/38
39,나루 생 막걸리 6도,6,935ml,"정제수, 쌀(국내산), 국, 효모(밀함유)",한강주조,6000,친구,탁주,서울시의 경복궁 쌀로 빚은 첫 번째 지역 특산주 막걸리,5,./pimg/39
40,술취한 원숭이,10.8,375ml,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",술샘,10800,친구,탁주,빨간맛 궁금해 Monkey,5,./pimg/40
41,구름을 벗삼아,12,750ml,"백미(국내산: 지역햅쌀 100%), 우리밀 전통누룩",문경주조,12000,친구,탁주,구름처럼 부드럽고 달콤한 막걸리,5,./pimg/41
42,배꽃 필 무렵 잣잎,9,140ml,"홍천쌀, 정제수, 홍천잣잎추출물",예술주조,9000,혼자,탁주,떠 먹는 잣 막걸리,5,./pimg/42
43,지란지교 탁주,13,500ml,"찹쌀(국내산), 맵쌀(국내산), 누룩(국내산)",지란지교,13000,친구,탁주,진짜 수제 막걸리의 품격,5,./pimg/43
44,커피냑,40,500ml,"커피생두, 백설탕, 효모, 정제수, 클로로겐산",제주커피수목원,40000,웃어른,기타주류,커피와인을 증류하여 만든 커피 브랜드,5,./pimg/44
45,여유 40도,40,375ml,"증류원액(쌀,국내산), 정제수",양촌양조장,40000,웃어른,증류식소주,100년 역사를 가진 양촌양조장의 소주를 만나보세요,5,./pimg/45
46,여유 19도,19,375ml,"증류원액(쌀,국내산), 정제수",양촌양조장,19000,친구,증류식소주,우렁이농법으로 재배한 무농약 쌀로 만든 소주,5,./pimg/46
47,삼천갑자 동방주,18,375ml,"새싹삼,천일염,토종꿀(국내산),정제수",삼오전통주,18000,웃어른,일반증류주,새싹삼이 들어간 담근 소주,5,./pimg/47
48,맑은 문희주,13,750ml,"국내산 유기농찹쌀, 국내산 멥쌀, 전통누룩, 정제수",문경주조,13000,친구,약주,H.O.T보다 핫한 술!,5,./pimg/48
49,술아 국화주,15,375ml,"국내산 찹쌀, 누룩, 건조국화꽃, 증류주, 정제수",술아원,15000,친구,약주,국화로 빚은 긴 여운의 과하주,5,./pimg/49
50,술아 연화주,15,375ml,"국내산 찹쌀, 누룩, 건조연화꽃, 증류주, 정제수",술아원,15000,친구,약주,연꽃으로 빚은 긴 여운의 과하주,5,./pimg/50
51,술아 매화주,15,375ml,"국내산 찹쌀, 누룩, 건조매화꽃, 증류주, 정제수",술아원,15000,친구,약주,매화로 빚은 긴 여윤의 과하주,5,./pimg/51
52,청주신선주,16,500ml,"청원생명쌀(청주산), 정제수, 찹쌀(국내산)",신선,16000,혼자,약주,신라시대 최치원 선생이 신선봉에 정자를 짓고 마신 술,5,./pimg/52
53,감사 블루,14,375ml,"쌀(국내산 경기미 100%), 누룩, 효모, 정제수",술샘,14000,친구,약주,소중한 분들게 감사한 마음을 담아,5,./pimg/53
54,호호,9,375ml,"정제수, 찹쌀(국내산), 맵쌀(국내산), 단호박(국내산)",중원당,9000,연인,탁주,마시는 순간 호호~ 웃음이 절로 나오는 부드러운 단호박 막걸리,5,./pimg/54
55,너디 호프,5,700ml,"정제수, 찹쌀(국내산), 누룩, 효머, 정제효소, 바질",너드 브루어리,5000,연인,탁주,콜드브루 방식으로 바질 풍미를 가득 끌어 올린 막걸리,5,./pimg/55
56,하얀 까마귀,8,850ml,"물, 쌀(국내산), 국, 효모, 밀",오산양조,8000,혼자,탁주,막걸리를 많이 마셔 몸이 하얘졌답니다,5,./pimg/56
57,술예쁘다,13,500ml,"국내산 쌀, 누룩",좋은술,13000,친구,탁주,붉은빛의 새콤달콤한 막걸리,5,./pimg/57
58,볼 빨간 막걸리,10,500ml,"정제수, 찹쌀(국내산), 누룩(밀), 밀 함유",벚드림,10000,연인,탁주,자꾸 들이켜다 보면 금세 볼이 빨개질 거예요~,5,./pimg/58
59,바람의 노래,11,500ml,"홍천쌀, 정제수, 곡자(밀누룩)",예술주조,11000,혼자,탁주,전통 방법으로 빚은 무첨가 드라이 막걸리,5,./pimg/59
60,벚꽃시즌,10.7,500ml,"정제수, 꿀(국내산), 효모, 효모영양제, 구연산",술빚는호랑이,10700,연인,기타주류,봄 시즌에만 채밀할 수 있는 벚꽃꿀로 빚은 산뜻한 미드,5,./pimg/60
